Hours since 00:00 Jan 1,System power generated (kW)
613,0.175743
614,0.0648979
615,0.0403115
616,0.0274195
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0.027651
632,0.237779
633,0.424255
634,0.564379
635,0.636461
636,0.6549
637,0.626
638,0.536697
639,0.269305
640,0.0912566
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0.0208253
656,0.199021
657,0.290528
658,0.455812
659,0.468931
660,0.477985
661,0.419799
662,0.214019
663,0.0900895
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0.0120515
680,0.0833689
681,0.219448
682,0.25538
683,0.448417
684,0.451644
685,0.327978
686,0.232263
687,0.121845
688,0.0139876
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0.0271674
704,0.0217567
705,0.0596459
706,0.0953297
707,0.173432
708,0.466968
709,0.33845
710,0.266894
711,0.0164342
712,0.000633826
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0.0105545
728,0.0391906
729,0.277623
730,0.422685
731,0.651202
732,0.667481
733,0.505549
734,0.546377
735,0.396249
736,0.191653
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0.0549916
752,0.257181
753,0.31421
754,0.591001
755,0.666217
756,0.691449
757,0.65927
758,0.568207
759,0.416504
760,0.203474
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0.0627573
776,0.276692
777,0.474226
778,0.609357
779,0.695449
780,0.724073
781,0.693072
782,0.601189
783,0.447118
784,0.212604
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0.0648316
800,0.278075
801,0.467967
802,0.595306
803,0.667832
804,0.692349
805,0.672341
806,0.586378
807,0.444661
808,0.230155
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0.0480129
824,0.280991
825,0.478154
